year,month,us_stock_return,us_stock_dividend,intl_stock_return,intl_stock_dividend,bond_return,bond_interest_rate,inflation,hysa_interest
1903,10,-0.003937,0.0,-0.001882,0.0,-0.006046,0.030804,0.004223,0.029318
1903,11,-0.015215,0.0,0.02562,0.0,-0.009207,0.035898,0.005004,0.019852
1903,12,-0.026194,0.005603,-0.048157,0.006185,0.008366,0.033325,0.00167,0.024554
1904,1,-0.048365,0.0,-0.007728,0.0,0.011257,0.044648,0.005965,0.022246
1904,2,-0.031014,0.0,-0.053355,0.0,0.000777,0.033664,0.007414,0.020986
1904,3,0.011628,0.005322,0.048931,0.006794,0.004636,0.041471,0.00393,0.018042
1904,4,-0.021179,0.0,-0.036428,0.0,0.01246,0.050453,0.001287,0.03002
1904,5,-0.035245,0.0,-0.024682,0.0,0.002332,0.041464,0.00145,0.029172
1904,6,0.012766,0.004666,0.033171,0.006408,-0.005183,0.035074,-0.004841,0.024224
1904,7,-0.035497,0.0,-0.101881,0.0,0.016922,0.038335,0.003653,0.020357
1904,8,-0.01075,0.0,0.018278,0.0,0.002258,0.043093,0.002575,0.014737
1904,9,-0.009835,0.004686,0.038828,0.008785,0.000793,0.032608,0.005226,0.026071
1904,10,-0.048838,0.0,-0.024537,0.0,0.014264,0.041649,0.004518,0.029603
1904,11,-0.007114,0.0,0.053682,0.0,-0.000272,0.038889,-0.000146,0.024744
1904,12,-0.052042,0.005058,-0.021362,0.007855,0.007864,0.038158,0.002286,0.027297
1905,1,0.000724,0.0,-0.01759,0.0,0.003808,0.03984,-0.004382,0.032036
1905,2,-0.053696,0.0,-0.06222,0.0,0.003869,0.029656,-0.001998,0.032549
1905,3,0.026537,0.001794,0.039525,0.006544,0.01311,0.034758,0.005132,0.018593
1905,4,0.033805,0.0,0.014735,0.0,0.008305,0.048791,0.003889,0.026535
1905,5,0.045605,0.0,0.05431,0.0,-0.007144,0.040428,0.001647,0.015581
1905,6,0.11205,0.003387,0.118936,0.004285,0.001025,0.033436,0.006497,0.025168
1905,7,-0.004339,0.0,-0.028299,0.0,0.001603,0.03753,-7.8e-05,0.027764
1905,8,0.017264,0.0,0.016747,0.0,7.4e-05,0.036739,0.001511,0.020712
1905,9,0.007361,0.002567,0.034588,0.005214,0.013468,0.040611,-4.2e-05,0.017866
1905,10,0.062072,0.0,0.051166,0.0,-0.002158,0.04233,0.002315,0.024321
1905,11,0.042546,0.0,0.00798,0.0,0.002702,0.046366,0.003044,0.019027
1905,12,0.008541,0.001844,0.008132,0.005505,0.015592,0.045005,-0.001229,0.033345
1906,1,0.091405,0.0,0.055229,0.0,-0.004089,0.041703,0.004978,0.01883
1906,2,-0.008041,0.0,-0.059013,0.0,0.005786,0.040157,0.001943,0.039441
1906,3,0.063464,0.004559,0.015341,0.005314,0.013201,0.038325,0.000567,0.030832
1906,4,-0.007685,0.0,-0.012807,0.0,-0.001174,0.039053,3e-06,0.026384
1906,5,0.013682,0.0,-0.009584,0.0,0.014817,0.041149,0.005378,0.022141
1906,6,-0.062113,0.003869,-0.0062,0.007551,0.009254,0.039816,0.004015,0.030186
1906,7,0.051982,0.0,0.005622,0.0,0.00288,0.035409,0.00483,0.018545
1906,8,0.005116,0.0,0.042357,0.0,-0.006478,0.041625,0.001464,0.019903
1906,9,-0.006667,0.004589,-0.036604,0.00862,-0.008682,0.038563,0.006566,0.032156
1906,10,0.018585,0.0,0.01783,0.0,0.004261,0.038619,0.000869,0.024995
1906,11,-0.06835,0.0,-0.085845,0.0,0.00814,0.02608,-0.000227,0.01807
1906,12,0.020346,0.003064,0.013993,0.006941,0.00074,0.043131,-0.000363,0.031697
1907,1,0.03754,0.0,0.035063,0.0,-0.00618,0.033695,0.002814,0.018125
1907,2,0.020532,0.0,0.012316,0.0,-0.011283,0.046475,0.001528,0.032683
1907,3,-0.077996,0.003533,-0.037172,0.00644,-0.00314,0.02932,0.001323,0.034461
1907,4,0.022326,0.0,0.016255,0.0,-0.00719,0.045598,0.00117,0.03135
1907,5,-0.09545,0.0,-0.086681,0.0,0.012524,0.041393,0.00286,0.026794
1907,6,0.049026,0.003558,0.011278,0.004607,0.008467,0.036425,0.004988,0.030714
1907,7,0.095046,0.0,0.066206,0.0,0.003177,0.050103,-0.003843,0.025168
1907,8,0.065567,0.0,0.035418,0.0,4.1e-05,0.038234,-0.000682,0.027905
1907,9,0.08105,0.003026,0.015251,0.005216,-0.003069,0.048686,0.006801,0.023485
1907,10,-0.06371,0.0,-0.000964,0.0,0.013321,0.043231,0.00357,0.023102
1907,11,0.008985,0.0,-0.029796,0.0,0.007672,0.041318,-0.000294,0.018091
1907,12,-0.030348,0.003516,-0.031308,0.005456,-0.00846,0.03329,0.003304,0.02159
1908,1,-0.013192,0.0,-0.039977,0.0,-0.00042,0.042216,0.002325,0.034679
1908,2,0.061521,0.0,0.026232,0.0,0.012327,0.043117,0.00027,0.030076
1908,3,0.028454,0.004145,0.005128,0.00777,-0.002451,0.036756,-0.000167,0.018458
1908,4,0.071657,0.0,0.001021,0.0,-0.019377,0.032169,0.006384,0.030343
1908,5,0.077941,0.0,0.033498,0.0,0.015679,0.039566,0.002477,0.023247
1908,6,0.050837,0.003939,0.064101,0.006472,-0.001108,0.044309,0.001234,0.030317
1908,7,-0.038442,0.0,-0.016731,0.0,0.01163,0.042164,-0.000243,0.023598
1908,8,0.044677,0.0,0.094836,0.0,-0.004601,0.042685,0.005158,0.021937
1908,9,0.029374,0.005329,0.016662,0.006896,-0.010487,0.045838,0.000606,0.026304
1908,10,0.070098,0.0,-0.017717,0.0,-0.001165,0.037965,5.1e-05,0.028049
1908,11,-0.019715,0.0,-0.014723,0.0,0.005373,0.038333,0.004878,0.035607
1908,12,-0.011919,0.003572,0.01171,0.005333,0.017855,0.039187,0.001277,0.021827
1909,1,-0.068462,0.0,-0.058065,0.0,0.009533,0.041609,0.002974,0.025207
1909,2,0.018158,0.0,0.006714,0.0,-0.012754,0.041695,-0.000599,0.019525
1909,3,0.046704,0.003734,0.026785,0.00551,0.005144,0.038393,0.001653,0.024073
1909,4,0.002743,0.0,0.017936,0.0,0.004641,0.044995,0.008258,0.027422
1909,5,0.023467,0.0,0.040714,0.0,0.002318,0.045974,0.003154,0.030489
1909,6,-0.010589,0.004504,-0.039691,0.007689,0.001571,0.039758,0.003147,0.024274
1909,7,0.070893,0.0,0.082145,0.0,0.006043,0.037469,0.002405,0.029666
1909,8,-0.009,0.0,-0.018483,0.0,0.000429,0.031723,0.002675,0.024274
1909,9,-0.014499,0.004704,-0.00296,0.005242,0.026086,0.038044,0.001034,0.022554
1909,10,0.012115,0.0,-0.01645,0.0,-0.001149,0.032603,-0.002018,0.020061
1909,11,-1.4e-05,0.0,0.031573,0.0,0.008347,0.041883,0.000797,0.024848
1909,12,0.028261,0.004031,0.078822,0.005898,-0.010541,0.034281,0.002271,0.022085
1910,1,-0.017957,0.0,-0.056672,0.0,-0.001853,0.051214,0.004566,0.026384
1910,2,-0.021866,0.0,-0.053733,0.0,2.5e-05,0.038736,-0.001488,0.030093
1910,3,-0.063069,0.006117,-0.025843,0.004099,-0.011987,0.04601,0.006791,0.028959
1910,4,0.040753,0.0,0.007093,0.0,-0.005409,0.032761,0.00195,0.018745
1910,5,0.084731,0.0,0.032138,0.0,0.007748,0.027943,-0.001459,0.034107
1910,6,-0.013674,0.00155,-0.03339,0.00492,-0.010837,0.035553,0.007115,0.028297
1910,7,-0.006193,0.0,0.026375,0.0,0.00747,0.032869,0.00044,0.028791
1910,8,0.019977,0.0,0.047811,0.0,0.00138,0.041893,0.00082,0.019374
1910,9,0.01072,0.001825,0.0287,0.005397,0.027335,0.036429,-0.001993,0.025545
1910,10,0.047251,0.0,0.016679,0.0,0.011967,0.038198,-0.00193,0.025161
1910,11,-0.013274,0.0,0.015962,0.0,0.000295,0.038805,0.004772,0.028914
1910,12,0.009107,0.00248,0.032188,0.006046,-0.001494,0.038791,0.003456,0.030054
1911,1,-0.001231,0.0,-0.041824,0.0,0.004701,0.037842,0.003704,0.026173
1911,2,0.007813,0.0,0.014729,0.0,0.004693,0.039564,0.003875,0.027775
1911,3,0.03135,0.003756,0.040822,0.007041,-0.011061,0.039188,-0.000109,0.02126
1911,4,-0.000489,0.0,0.039561,0.0,0.008629,0.039955,0.003708,0.027148
1911,5,0.056938,0.0,0.065124,0.0,0.004889,0.045796,0.007333,0.016306
1911,6,0.049602,0.0038,0.036231,0.00444,0.01107,0.028845,0.000472,0.024373
1911,7,0.036618,0.0,0.046858,0.0,0.001101,0.034688,0.002431,0.031181
1911,8,-0.016199,0.0,-0.005752,0.0,-0.003702,0.042565,0.006345,0.026785
1911,9,0.086413,0.004908,0.116043,0.007645,-0.01076,0.044491,-0.000962,0.029
1911,10,0.022593,0.0,0.002227,0.0,0.003206,0.043999,-0.002975,0.024017
1911,11,0.038401,0.0,0.02935,0.0,-7.3e-05,0.033754,0.003129,0.028965
1911,12,-0.032988,0.003638,-0.066945,0.006755,0.009008,0.038096,0.003712,0.034374
1912,1,0.021158,0.0,0.039417,0.0,-0.000907,0.042391,0.000697,0.024032
1912,2,0.018335,0.0,0.009108,0.0,0.002115,0.04157,0.005384,0.026726
1912,3,0.059717,0.002133,0.006268,0.004142,0.007992,0.030075,0.002048,0.019683
1912,4,0.029477,0.0,-0.023466,0.0,0.005399,0.047751,0.003755,0.03578
1912,5,0.019864,0.0,0.010899,0.0,0.010331,0.04265,0.006258,0.020298
1912,6,-0.016546,0.004597,-0.014996,0.004723,0.012196,0.034015,0.008116,0.02619
1912,7,-0.001323,0.0,0.031553,0.0,0.004711,0.036936,0.003187,0.021051
1912,8,-0.063706,0.0,-0.083066,0.0,-0.006919,0.033894,0.002495,0.023743
1912,9,0.058117,0.004903,0.046406,0.006452,0.007802,0.034196,0.000663,0.035645
1912,10,0.001506,0.0,0.014464,0.0,0.009832,0.046571,0.004403,0.033453
1912,11,-0.024952,0.0,-0.015011,0.0,-0.021477,0.039595,0.003274,0.025428
1912,12,0.07537,0.00384,0.081277,0.007728,0.026409,0.050241,0.003034,0.02153
1913,1,0.011868,0.0,-0.047587,0.0,0.00227,0.040612,0.000225,0.015842
1913,2,-0.010577,0.0,-0.028973,0.0,0.005267,0.036018,0.000598,0.026011
1913,3,0.002523,0.004065,0.018861,0.006309,-0.004281,0.049378,0.00257,0.033603
1913,4,-0.034611,0.0,-0.055278,0.0,-0.00434,0.036998,0.003942,0.030951
1913,5,-0.049621,0.0,-0.086815,0.0,0.00894,0.037909,-0.002174,0.035285
1913,6,0.01311,0.003284,-0.01443,0.005662,0.000527,0.040992,0.00099,0.02823
1913,7,0.034065,0.0,0.021602,0.0,0.004183,0.042188,0.001039,0.022455
1913,8,0.007194,0.0,0.036511,0.0,0.001666,0.04178,0.001801,0.019875
1913,9,0.060187,0.005359,0.025954,0.006684,0.00594,0.035879,-1.2e-05,0.022233
1913,10,-0.02072,0.0,-0.045349,0.0,-0.009053,0.036362,-0.000962,0.01461
1913,11,-0.031213,0.0,-0.032137,0.0,-0.009117,0.04391,0.006063,0.026076
1913,12,-0.012724,0.004638,-0.0789,0.007278,-0.001327,0.03912,0.005415,0.029582
1914,1,0.00564,0.0,-0.032317,0.0,0.010621,0.047742,0.002223,0.031573
1914,2,-0.024311,0.0,-0.024317,0.0,-0.005994,0.041725,0.000528,0.029923
1914,3,-0.013482,0.004931,-0.04582,0.007105,0.000909,0.046199,0.001802,0.031165
1914,4,0.051232,0.0,0.046972,0.0,0.003086,0.048457,-0.0004,0.022945
1914,5,-0.055321,0.0,-0.053662,0.0,-0.003136,0.031097,0.00021,0.027175
1914,6,0.045061,0.0037,0.033185,0.00713,-0.000732,0.038997,0.001527,0.02076
1914,7,0.04095,0.0,0.053092,0.0,-0.000681,0.039555,0.00167,0.018154
1914,8,-0.013332,0.0,-0.049145,0.0,0.009467,0.038984,0.004985,0.024379
1914,9,-0.028844,0.004682,-0.037503,0.003735,-0.001285,0.04617,-0.003029,0.028703
1914,10,0.008215,0.0,-0.01982,0.0,0.006742,0.043866,0.003031,0.021945
1914,11,-0.026214,0.0,-0.028201,0.0,0.002789,0.043825,0.002549,0.021704
1914,12,0.026082,0.004771,0.013352,0.007404,0.015878,0.036031,0.006829,0.02926
1915,1,0.082633,0.0,0.054776,0.0,-0.011943,0.03241,-0.000618,0.022888
1915,2,-0.023228,0.0,-0.07066,0.0,0.015517,0.045587,0.002853,0.024235
1915,3,-0.005415,0.004644,0.003404,0.00505,0.00486,0.041802,0.004053,0.030288
1915,4,0.012124,0.0,0.014087,0.0,0.005283,0.042041,0.005072,0.027415
1915,5,0.05591,0.0,-0.031069,0.0,-0.008444,0.040317,0.000454,0.025741
1915,6,0.070867,0.004194,0.092134,0.005465,-0.00422,0.032624,0.004421,0.014043
1915,7,0.043122,0.0,0.055448,0.0,0.01339,0.044206,0.002882,0.024062
1915,8,0.042819,0.0,0.002743,0.0,-0.004195,0.04044,0.001867,0.029336
1915,9,0.005396,0.004584,0.032036,0.005515,0.004801,0.037166,0.003966,0.024908
1915,10,0.007233,0.0,-0.027064,0.0,0.00843,0.048914,7.9e-05,0.022856
1915,11,-0.012352,0.0,-0.067355,0.0,-0.003951,0.035794,0.007184,0.025455
1915,12,-0.009067,0.003891,0.007544,0.005526,-0.001958,0.038254,0.006275,0.031181
1916,1,0.02451,0.0,-0.00082,0.0,0.008845,0.039693,0.001893,0.031456
1916,2,0.02731,0.0,0.010436,0.0,-0.000657,0.044561,0.004222,0.02599
1916,3,0.01825,0.002609,-0.046013,0.007072,-0.000606,0.035511,0.004986,0.021748
1916,4,0.035619,0.0,0.0099,0.0,-0.004067,0.045554,0.004221,0.029925
1916,5,0.060232,0.0,0.025301,0.0,0.011481,0.037871,0.007405,0.013833
1916,6,-0.000909,0.002901,0.049893,0.004981,0.007044,0.038179,0.001527,0.025941
1916,7,-0.039339,0.0,-0.019889,0.0,0.029494,0.039899,0.000124,0.025484
1916,8,0.058985,0.0,0.12857,0.0,0.016073,0.045006,0.001303,0.026246
1916,9,-0.073861,0.002641,-0.025184,0.004277,0.001322,0.041663,-8.6e-05,0.026699
1916,10,0.045367,0.0,0.025437,0.0,0.008367,0.03674,0.004548,0.027388
1916,11,-0.054514,0.0,-0.033613,0.0,0.010164,0.036097,0.001193,0.037366
1916,12,0.05302,0.005868,0.020631,0.006706,0.005806,0.035133,0.005682,0.018926
1917,1,0.035877,0.0,0.004371,0.0,0.002879,0.03637,0.009834,0.027342
1917,2,-0.008862,0.0,-0.008978,0.0,0.000623,0.039531,0.01735,0.02429
1917,3,0.07001,0.004554,0.058622,0.007213,0.013044,0.037976,0.004237,0.025869
1917,4,-0.087494,0.0,-0.040658,0.0,0.027989,0.034935,0.017779,0.017524
1917,5,0.006972,0.0,-0.016399,0.0,0.014745,0.044962,0.012675,0.021325
1917,6,-0.058185,0.00388,0.003659,0.006036,-0.016136,0.039424,0.011313,0.023371
1917,7,-0.01248,0.0,0.058649,0.0,0.005621,0.043836,0.011214,0.023393
1917,8,-0.002897,0.0,-0.026656,0.0,0.008469,0.036134,0.014149,0.029959
1917,9,-0.023503,0.003247,0.015986,0.007231,0.014298,0.039118,0.010132,0.023472
1917,10,0.040596,0.0,0.043012,0.0,0.01625,0.034725,0.007455,0.029697
1917,11,-0.10109,0.0,-0.118845,0.0,0.008659,0.038784,0.015184,0.020272
1917,12,-0.045176,0.004904,0.018052,0.005562,-0.004101,0.044867,0.010976,0.022724
1918,1,-0.015948,0.0,-0.009343,0.0,-0.014886,0.045534,0.004322,0.024854
1918,2,-0.05146,0.0,-0.070277,0.0,0.006561,0.040944,0.006417,0.024011
1918,3,-0.02081,0.004964,-0.039104,0.005299,0.015022,0.034921,0.014315,0.029589
1918,4,0.046381,0.0,0.006933,0.0,0.014605,0.042911,0.00942,0.023981
1918,5,0.063929,0.0,0.078713,0.0,0.007629,0.035839,0.020074,0.021901
1918,6,0.080238,0.003096,0.071134,0.005776,-0.001217,0.02904,0.011511,0.022226
1918,7,-0.006896,0.0,-0.034988,0.0,-0.002007,0.029289,0.010755,0.020405
1918,8,0.00554,0.0,0.02683,0.0,-0.007336,0.042533,0.008971,0.023437
1918,9,0.013888,0.004429,0.007482,0.007441,-0.008729,0.04566,0.01356,0.025898
1918,10,-0.018259,0.0,0.008962,0.0,0.005664,0.042402,0.011575,0.030645
1918,11,0.014908,0.0,0.006893,0.0,0.00166,0.039475,0.0134,0.027747
1918,12,0.009808,0.001977,-0.018639,0.005897,0.010888,0.03878,0.008789,0.023702
1919,1,0.023617,0.0,0.011772,0.0,0.017394,0.029397,0.007349,0.02513
1919,2,-0.041741,0.0,0.00248,0.0,0.008982,0.036368,0.009717,0.032535
1919,3,-0.015474,0.004423,0.02011,0.005104,0.000808,0.036144,0.019839,0.03228
1919,4,0.017055,0.0,0.040659,0.0,-0.000548,0.033187,0.014045,0.023552
1919,5,0.020011,0.0,0.035379,0.0,0.004343,0.046268,0.021562,0.023445
1919,6,0.05565,0.003806,0.026068,0.003985,-0.004184,0.040734,0.009463,0.021278
1919,7,-0.012487,0.0,-0.042894,0.0,0.002505,0.043516,0.019631,0.01605
1919,8,0.053999,0.0,0.057714,0.0,-0.006605,0.039865,0.013103,0.021408
1919,9,0.011383,0.004277,0.032107,0.006642,0.010233,0.031776,0.015295,0.017918
1919,10,0.044824,0.0,0.006454,0.0,-0.002357,0.040555,0.007843,0.017655
1919,11,0.028064,0.0,0.009694,0.0,0.018823,0.033559,0.014815,0.029184
1919,12,-0.020232,0.0047,-0.042129,0.004778,0.004478,0.039782,0.015543,0.021951
1920,1,-0.046199,0.0,-0.033825,0.0,0.00615,0.043851,0.018693,0.029149
1920,2,0.070805,0.0,0.003235,0.0,0.009177,0.044408,0.007116,0.034204
1920,3,-0.019227,0.003854,0.043642,0.006073,-0.01098,0.046272,0.020542,0.031128
1920,4,-0.038556,0.0,-0.026793,0.0,0.007348,0.047535,0.011214,0.029623
1920,5,0.03023,0.0,0.020031,0.0,-0.006213,0.037301,0.011635,0.025557
1920,6,0.051461,0.003735,0.014959,0.006042,0.001126,0.039005,0.005485,0.024548
1920,7,0.069497,0.0,0.043412,0.0,0.01966,0.043468,0.008549,0.025394
1920,8,0.0149,0.0,-0.007527,0.0,0.006947,0.042788,0.014831,0.011226
1920,9,-0.040487,0.004161,-0.010048,0.006352,-0.0136,0.049173,0.008123,0.020356
1920,10,0.030778,0.0,-0.003723,0.0,0.006792,0.043816,0.005925,0.020353
1920,11,-0.000908,0.0,-0.030533,0.0,0.010765,0.028087,0.004,0.03356
1920,12,0.020251,0.004327,0.022523,0.006585,-0.009419,0.039576,0.017525,0.02954
1921,1,-0.027746,0.0,-0.025594,0.0,5.6e-05,0.044788,0.004756,0.020931
1921,2,-0.020486,0.0,-0.024405,0.0,0.017993,0.041238,0.002312,0.024989
1921,3,-0.016197,0.005847,-0.033544,0.005024,0.005773,0.05412,0.002451,0.02322
1921,4,-0.117109,0.0,-0.075619,0.0,-0.002008,0.043263,0.000996,0.031821
1921,5,-0.051566,0.0,0.020663,0.0,0.001643,0.041047,0.001081,0.021326
1921,6,-0.030533,0.004226,0.0145,0.005842,0.000621,0.04248,-0.00183,0.021321
1921,7,-0.015263,0.0,0.049684,0.0,0.002129,0.043503,0.003925,0.030316
1921,8,-0.023517,0.0,-0.021749,0.0,0.017469,0.038623,9.5e-05,0.027876
1921,9,0.027046,0.00523,0.04221,0.007139,-0.002148,0.030732,0.003634,0.024681
1921,10,0.077617,0.0,0.048309,0.0,0.00937,0.030325,0.006499,0.029053
1921,11,0.014865,0.0,0.003404,0.0,0.002592,0.048457,0.00372,0.023243
1921,12,0.018043,0.003579,0.055195,0.007019,-0.011617,0.04159,0.003923,0.027486
1922,1,-0.027114,0.0,-0.069159,0.0,0.016498,0.033801,0.004847,0.025945
1922,2,0.04291,0.0,0.03372,0.0,0.006324,0.036805,0.00022,0.026229
1922,3,0.001658,0.002978,-0.00946,0.004362,-0.012114,0.046215,0.000272,0.032397
1922,4,0.014317,0.0,0.087353,0.0,0.004573,0.038031,0.005613,0.030031
1922,5,0.018283,0.0,0.066369,0.0,0.007973,0.04572,-9.4e-05,0.021481
1922,6,0.003936,0.004069,-0.018924,0.008533,0.013214,0.036321,0.006163,0.025146
1922,7,0.010852,0.0,0.016171,0.0,0.009127,0.040037,0.00188,0.029496
1922,8,-0.018628,0.0,0.010116,0.0,0.008727,0.044207,0.00298,0.028299
1922,9,-0.011817,0.003261,-0.000941,0.006743,0.001644,0.045,0.00509,0.033062
1922,10,-0.001523,0.0,0.002045,0.0,0.010292,0.043798,-8e-06,0.036128
1922,11,0.062769,0.0,0.027568,0.0,0.002698,0.041744,0.004366,0.017748
1922,12,-0.020532,0.00554,-0.031602,0.003716,0.012422,0.035588,0.002488,0.031729
1923,1,0.027143,0.0,0.004819,0.0,0.006432,0.041944,-0.000351,0.02767
1923,2,0.004235,0.0,0.016961,0.0,0.002352,0.042158,0.00104,0.026881
1923,3,-0.028433,0.003447,-0.003821,0.006481,-0.006414,0.039516,0.004417,0.021295
1923,4,0.01347,0.0,0.080389,0.0,0.013485,0.041467,0.000165,0.021219
1923,5,0.005418,0.0,0.063332,0.0,-0.01247,0.03889,0.002714,0.024272
1923,6,0.005375,0.004856,0.008475,0.005556,0.011477,0.03972,4.8e-05,0.02198
1923,7,-0.029177,0.0,-0.024922,0.0,-0.001601,0.041763,0.010102,0.024875
1923,8,-0.001942,0.0,-0.005811,0.0,-0.007179,0.046564,0.005543,0.033095
1923,9,0.000457,0.002299,0.014308,0.008979,-0.028248,0.03733,-0.000267,0.030687
1923,10,-0.038057,0.0,-0.051452,0.0,0.000878,0.043978,-0.002978,0.020428
1923,11,0.042588,0.0,0.037479,0.0,0.004796,0.050391,0.004849,0.026451
1923,12,0.063293,0.001481,0.04788,0.005304,-0.000143,0.042492,-0.002575,0.031055
1924,1,-0.043566,0.0,-0.036431,0.0,-0.006638,0.033493,0.001859,0.01467
1924,2,-0.07713,0.0,-0.072344,0.0,-0.001272,0.045437,0.00321,0.033358
1924,3,-0.043811,0.00399,-0.056783,0.003783,-0.002466,0.033312,0.003757,0.019564
1924,4,-0.011047,0.0,0.071122,0.0,0.000445,0.040992,0.000523,0.025468
1924,5,-0.008272,0.0,0.01723,0.0,0.005847,0.038684,0.003381,0.031948
1924,6,-0.012318,0.004683,-0.036575,0.006884,0.009394,0.039499,0.002165,0.037933
1924,7,-0.007594,0.0,0.007301,0.0,0.011121,0.034014,0.007135,0.029361
1924,8,-0.006977,0.0,0.028132,0.0,0.000442,0.041997,0.00121,0.029163
1924,9,0.004143,0.004922,-0.046013,0.005621,0.010733,0.047449,-0.001173,0.025342
1924,10,-0.007091,0.0,-0.069155,0.0,0.010906,0.033967,0.000497,0.025174
1924,11,0.004318,0.0,-0.043425,0.0,-0.000659,0.040973,0.000834,0.025244
1924,12,-0.001079,0.005018,-0.036234,0.006323,0.01361,0.042619,-0.001226,0.029185
1925,1,0.021972,0.0,0.028996,0.0,0.009939,0.038571,0.002766,0.019012
1925,2,-0.010257,0.0,0.027599,0.0,0.001968,0.03474,0.001117,0.027003
1925,3,-0.03565,0.002207,-0.041454,0.00645,0.002384,0.04142,0.002923,0.028086
1925,4,0.019162,0.0,-0.008692,0.0,0.004779,0.03794,0.005629,0.031184
1925,5,0.039716,0.0,0.07664,0.0,0.007379,0.045028,0.000316,0.022844
1925,6,0.000589,0.004313,0.020507,0.004837,0.002087,0.042377,-3.4e-05,0.025595
1925,7,0.046363,0.0,0.070802,0.0,0.003898,0.026577,0.006023,0.03111
1925,8,0.008044,0.0,0.06605,0.0,0.012219,0.048676,0.006152,0.023167
1925,9,-0.067437,0.003167,-0.051535,0.005672,-0.004111,0.048556,-0.000285,0.025208
1925,10,-0.037126,0.0,-0.018101,0.0,0.008853,0.042976,0.001396,0.022625
1925,11,0.057986,0.0,0.019407,0.0,-0.005847,0.041801,0.004103,0.027338
1925,12,0.05512,0.005288,0.062377,0.004474,0.005038,0.04022,0.012652,0.031438
1926,1,-0.052668,0.0,-0.001846,0.0,-0.011399,0.039668,0.004275,0.023956
1926,2,0.07428,0.0,0.11783,0.0,0.000465,0.042201,0.001097,0.014722
1926,3,0.03004,0.003389,0.001697,0.005407,0.000872,0.050855,0.002296,0.030088
1926,4,0.031073,0.0,0.076191,0.0,0.003469,0.038727,0.001346,0.029872
1926,5,0.032235,0.0,0.024935,0.0,0.001791,0.055262,0.001569,0.02079
1926,6,0.033144,0.004878,0.015006,0.005945,-0.006727,0.03849,0.002123,0.027813
1926,7,-0.004203,0.0,0.011292,0.0,-0.015512,0.039868,0.003621,0.028964
